,timestamp,open,high,low,close,adjusted close,volume,dividend amount
254,2002-01-31,28.51,33.3,26.92,30.35,19.8694,45625000,0.0
255,2001-12-31,27.7,30.87,26.9,28.51,18.6648,48822900,0.0
256,2001-11-30,22.12,27.59,22.06,27.27,17.853,73904000,0.0
257,2001-10-31,19.15,24.79,18.72,22.27,14.5796,38725900,0.0
258,2001-09-28,26.35,26.95,18.0,19.55,12.7989,33454000,0.0
259,2001-08-31,29.5,32.7,24.3,26.5,17.3489,38683600,0.0
260,2001-07-31,32.5,33.5,26.2,28.61,18.7303,34680900,0.0
261,2001-06-29,34.5,36.45,27.25,32.5,21.2769,46586800,0.0
262,2001-05-31,37.9,41.18,32.25,33.54,21.9578,47883700,0.0
263,2001-04-30,32.25,41.0,25.0,39.01,25.5389,46792200,0.0
264,2001-03-30,35.9,42.38,29.6,30.73,20.1182,63259500,0.0
265,2001-02-28,53.4,55.0,35.55,36.0,23.5683,58088200,0.0
266,2001-01-31,53.88,68.0,47.56,54.55,35.7125,56503600,0.0
267,2000-12-29,52.94,59.88,49.88,54.75,35.8435,50547300,0.0
268,2000-11-30,46.0,54.0,38.06,52.19,34.1675,59800600,0.0
269,2000-10-31,49.13,58.63,39.25,46.31,30.318,67459500,0.0
270,2000-09-29,60.69,62.69,44.38,48.94,32.0398,44178100,0.0
271,2000-08-31,40.69,64.0,38.19,61.0,39.9352,91389000,0.0
272,2000-07-31,74.0,80.94,39.5,40.75,26.678,115131400,0.0
273,2000-06-30,74.44,83.75,62.0,73.75,48.2823,128321200,0.0
274,2000-05-31,88.63,104.1,54.0,73.63,48.2037,77277100,0.0
275,2000-04-28,103.0,125.0,73.06,88.63,58.0239,32950700,0.0
276,2000-03-31,104.5,162.0,90.0,104.0,68.0862,41258700,0.0
277,2000-02-29,66.25,115.4,66.25,103.9,68.0207,23560800,0.0
278,2000-01-31,78.75,78.94,58.13,66.19,43.3329,32103600,0.0
279,1999-12-31,42.19,80.0,41.0,77.31,50.6129,47860100,0.0
